rank_score,relevance,credibility,is_relevant,deal_type,deal_value,acquirer,target,title,publisher,source_domain,credibility_tier,is_press_release,corroboration_count,cluster_size,published,url,matched_deal_terms,matched_fmcg_terms,duplicate_urls
0.9229,100,100,True,Acquisition,$36 billion,,,Mars strikes $36bn deal to buy Pringles maker Kellanova,Bloomberg,bloomberg.com,tier1,False,2,3,2026-06-19T09:20:00+00:00,https://www.bloomberg.com/news/articles/2026-06-19/mars-kellanova-deal,acquisition; agreed to buy; deal; to buy,food; kellanova,https://www.reuters.com/markets/deals/mars-acquire-kellanova-2026-06-19; https://www.fooddive.com/news/mars-kellanova-36-billion-takeover/2026
0.8483,94,99,True,Acquisition,$1.95 billion,,,PepsiCo to acquire prebiotic soda brand poppi for $1.95 billion,CNBC,cnbc.com,tier1,False,1,2,2026-06-17T13:30:00+00:00,https://www.cnbc.com/2026/06/17/pepsico-poppi-acquisition.html,acquire,beverage; drinks; pepsi; pepsico; soft drink,https://www.beveragedaily.com/article/2026/06/17/pepsico-poppi-deal
0.7871,100,85,True,Acquisition,$1 billion,,,Keurig Dr Pepper acquires energy drink maker in $1 billion deal,Food Dive,fooddive.com,tier2,False,0,1,2026-06-15T14:00:00+00:00,https://www.fooddive.com/news/keurig-dr-pepper-energy-drink-acquisition/,acquire; acquires; deal,coffee; keurig dr pepper,
0.7644,100,85,True,Acquisition,,,,Beauty conglomerate acquires haircare brand to strengthen professional division,Cosmetics Business,cosmeticsbusiness.com,tier2,False,0,1,2026-06-13T11:10:00+00:00,https://www.cosmeticsbusiness.com/news/beauty-haircare-acquisition-2026,acquire; acquired; acquires,beauty; haircare,
0.7528,100,85,True,Acquisition,,,,L'Oreal acquires premium skincare brand to expand dermatological beauty,CosmeticsDesign,cosmeticsdesign.com,tier2,False,0,1,2026-06-12T09:05:00+00:00,https://www.cosmeticsdesign.com/Article/2026/06/12/loreal-skincare-acquisition,acquire; acquires; invests,beauty; cosmetics; l'oreal; skincare,
0.7518,100,95,True,Divestiture,,,,Nestle divests underperforming frozen food unit to focus on coffee and pet care,Reuters,reuters.com,tier1,False,0,1,2026-06-09T11:40:00+00:00,https://www.reuters.com/markets/deals/nestle-frozen-food-divestiture-2026,divest; divests,coffee; food; frozen food; nestle; nutrition,
0.7358,78,99,True,Acquisition,,,,"Mondelez explores potential acquisition of Hershey, sources say",Bloomberg,bloomberg.com,tier1,False,1,2,2026-06-13T18:40:00+00:00,https://www.bloomberg.com/news/articles/2026-06-13/mondelez-hershey-approach,acquisition,chocolate; confectionery; hershey; mondelez,https://finance.yahoo.com/news/mondelez-hershey-takeover-interest.html
0.732,100,70,True,Acquisition,,,,Private equity firm takes majority stake in personal care brand,City A.M.,cityam.com,tier3,False,0,1,2026-06-14T15:20:00+00:00,https://www.cityam.com/private-equity-personal-care-stake-2026/,acquire; acquired; majority stake; private equity; stake,hygiene; personal care,
0.7166,94,85,True,Acquisition,$2.7 billion,,,Campbell completes $2.7 billion acquisition of premium sauce maker,Just Food,just-food.com,tier2,False,0,1,2026-06-11T12:30:00+00:00,https://www.just-food.com/news/campbell-sauce-acquisition-completed/,acquisition,campbell; grocery,
0.7135,67,99,True,Divestiture,,,,Unilever sets out plans to spin off ice cream business in stock-market listing,Financial Times,ft.com,tier1,False,1,2,2026-06-16T07:45:00+00:00,https://www.ft.com/content/unilever-ice-cream-spinoff-2026,spin off,consumer goods; nutrition; personal care; unilever,https://www.just-food.com/news/unilever-ice-cream-demerger-ipo/
0.7095,76,85,True,Funding round,$75 million,,,Functional beverage start-up raises $75 million Series C led by consumer fund,FoodBev Media,foodbev.com,tier2,False,0,1,2026-06-18T10:00:00+00:00,https://www.foodbev.com/news/functional-beverage-startup-series-c/,funding round; series c,beverage; drinks,
0.7042,94,85,True,Acquisition,,,,"Lactalis to buy regional cheese business, expanding dairy footprint",DairyReporter,dairyreporter.com,tier2,False,0,1,2026-06-10T08:50:00+00:00,https://www.dairyreporter.com/Article/2026/06/10/lactalis-cheese-acquisition,acquire; to buy,cheese; dairy; lactalis,
0.6996,90,85,True,Acquisition,,,,Brewer agrees to acquire craft beer maker in regional consolidation,Just Drinks,just-drinks.com,tier2,False,0,1,2026-06-11T14:45:00+00:00,https://www.just-drinks.com/news/brewer-craft-beer-acquisition/,acquire,beer; brewer,
0.67,100,50,True,Acquisition,$850 million,,,Pet food maker acquired by consumer goods group in $850 million deal,Pet Food Industry,petfoodindustry.com,unknown,False,0,1,2026-06-14T10:50:00+00:00,https://www.petfoodindustry.com/news/pet-food-acquisition-850-million-2026,acquire; acquired; deal,consumer goods; food; pet food,
0.6556,78,85,True,Investment,,,,Coca-Cola invests in dairy-alternative brand to broaden drinks portfolio,Beverage Daily,beveragedaily.com,tier2,False,0,1,2026-06-12T13:15:00+00:00,https://www.beveragedaily.com/article/2026/06/12/coca-cola-plant-based-investment,investment; invests,coca-cola; dairy; drinks,
0.6524,82,85,True,Acquisition,,,,Spirits group acquires premium tequila brand to capture agave boom,Just Drinks,just-drinks.com,tier2,False,0,1,2026-06-10T13:35:00+00:00,https://www.just-drinks.com/news/spirits-tequila-acquisition/,acquire; acquires,spirits,
0.6456,69,85,True,Investment,$40 million,,,Snack start-up secures $40m investment to expand better-for-you range,FoodBev Media,foodbev.com,tier2,False,0,1,2026-06-15T09:30:00+00:00,https://www.foodbev.com/news/snack-startup-40m-investment/,investment,grocery; snack,
0.6355,78,85,True,Buyout / PE,,,,Reckitt agrees to sell homecare brands to private equity buyer,The Grocer,thegrocer.co.uk,tier2,False,0,1,2026-06-10T16:05:00+00:00,https://www.thegrocer.co.uk/finance/reckitt-homecare-brands-sale/2026,private equity,consumer health; hygiene; reckitt,
0.5883,94,50,True,Acquisition,,,,"Grupo Bimbo to acquire bakery business, expanding in packaged bread",BakeryandSnacks,bakeryandsnacks.com,unknown,False,0,1,2026-06-09T08:20:00+00:00,https://www.bakeryandsnacks.com/Article/2026/06/09/grupo-bimbo-bakery-acquisition,acquire,bimbo; grupo bimbo,
0.5825,71,85,True,Investment,,,,Household cleaning brand sold to investment consortium,Consumer Goods Technology,consumergoods.com,tier2,False,0,1,2026-06-08T15:55:00+00:00,https://www.consumergoods.com/household-cleaning-brand-sold-2026,invest in; investment,household,
0.4849,56,47,True,Funding round,$25 million,,,Oral care challenger brand raises $25m to fund retail expansion,GlobeNewswire,globenewswire.com,press_release,True,0,1,2026-06-16T12:00:00+00:00,https://www.globenewswire.com/news-release/2026/06/16/oral-care-funding-round,funding round,grocery; household; oral care,
0.4756,20,95,False,Deal / other,,,,Consumer goods giant posts higher quarterly sales on price increases,CNBC,cnbc.com,tier1,False,0,1,2026-06-17T07:30:00+00:00,https://www.cnbc.com/2026/06/17/consumer-goods-q2-results.html,,consumer goods; household; personal care,
0.4571,20,85,False,Deal / other,,,,New limited-edition snack flavour launches nationwide this summer,Food Dive,fooddive.com,tier2,False,0,1,2026-06-18T09:15:00+00:00,https://www.fooddive.com/news/new-snack-flavour-launch-summer/,,grocery; snack,
0.3665,0,95,False,Deal / other,,,,City football club unveils new home kit for upcoming season,BBC Sport,bbc.com,tier1,False,0,1,2026-06-15T12:40:00+00:00,https://www.bbc.com/sport/football/club-new-kit-2026,,,
0.3342,20,50,False,Acquisition,$1.2 billion,,,Enterprise software firm acquires cloud security start-up for $1.2 billion,TechCrunch,techcrunch.com,unknown,False,0,1,2026-06-16T17:00:00+00:00,https://techcrunch.com/2026/06/16/software-security-acquisition/,acquire; acquires,,
